ID,MAX SPEED,MAX SPEED DATE TIME,MIN SPEED,TRAFFIC TOTAL UPPER ERROR LIMIT,TRAFFIC TOTAL LOWER ERROR LIMIT,TRAFFIC TOTAL UPPER WARNING LIMIT,TRAFFIC TOTAL LOWER WARNING LIMIT
8193,167 Mbit/s,17-03-2024 02:27,1.29 Mbit/s,800,not_set,700,not_set
10705,86 Mbit/s,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
9966,322 Mbit/s,17-03-2024 05:47,1.64 Mbit/s,800,not_set,700,not_set
10017,324 Mbit/s,17-03-2024 05:26,1.64 Mbit/s,800,not_set,700,not_set
9930,37 Mbit/s,17-03-2024 05:02,0.02 Mbit/s,130,not_set,100,not_set
10968,0.26 Mbit/s,17-03-2024 00:37,0.24 Mbit/s,800,not_set,700,not_set
11001,0.25 Mbit/s,17-03-2024 00:50,0.24 Mbit/s,800,not_set,700,not_set
10590,165 Mbit/s,17-03-2024 02:35,< 0.01,800,not_set,700,not_set
2718,4.05 Mbit/s,17-03-2024 05:00,0.46 Mbit/s,800,not_set,700,not_set
2729,3.14 Mbit/s,17-03-2024 05:00,0.02 Mbit/s,800,not_set,700,not_set
2751,3.63 Mbit/s,17-03-2024 01:00,0.01 Mbit/s,800,not_set,700,not_set
2761,3.98 Mbit/s,17-03-2024 05:00,0.23 Mbit/s,800,not_set,700,not_set
4622,1.96 Mbit/s,17-03-2024 03:00,0.01 Mbit/s,800,not_set,700,not_set
4628,1.61 Mbit/s,17-03-2024 03:00,< 0.01,800,not_set,700,not_set
9772,0.79 Mbit/s,17-03-2024 05:54,0.30 Mbit/s,800,not_set,700,not_set
9778,0.78 Mbit/s,17-03-2024 06:13,0.30 Mbit/s,800,not_set,700,not_set
7945,,,,8000,not_set,7000,not_set
4634,< 0.01,17-03-2024 04:00,< 0.01,500,not_set,400,not_set
4700,9.15 Mbit/s,17-03-2024 04:37,0.06 Mbit/s,500,not_set,400,not_set
10011,< 0.01,17-03-2024 03:50,< 0.01,800,not_set,700,not_set
3898,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
10862,"2,517 Mbit/s",17-03-2024 06:57,7.34 Mbit/s,8000,not_set,7000,not_set
10868,"6,598 Mbit/s",17-03-2024 03:23,8.36 Mbit/s,16000,not_set,10000,not_set
8525,12 Mbit/s,17-03-2024 06:22,0.77 Mbit/s,800,not_set,700,not_set
7705,0.91 Mbit/s,17-03-2024 02:04,0.07 Mbit/s,800,not_set,700,not_set
4637,0.02 Mbit/s,17-03-2024 04:15,< 0.01,500,not_set,400,not_set
4703,54 Mbit/s,17-03-2024 05:46,0.06 Mbit/s,500,not_set,400,not_set
10591,0.26 Mbit/s,17-03-2024 03:11,0.08 Mbit/s,800,not_set,700,not_set
2752,25 Mbit/s,17-03-2024 06:35,0.09 Mbit/s,800,not_set,700,not_set
2762,25 Mbit/s,17-03-2024 06:35,0.09 Mbit/s,800,not_set,700,not_set
4624,25 Mbit/s,17-03-2024 02:23,0.04 Mbit/s,800,not_set,700,not_set
4630,25 Mbit/s,17-03-2024 02:23,0.04 Mbit/s,800,not_set,700,not_set
9775,3.66 Mbit/s,17-03-2024 06:12,0.09 Mbit/s,800,not_set,700,not_set
9779,3.68 Mbit/s,17-03-2024 06:13,0.09 Mbit/s,800,not_set,700,not_set
4518,8 Mbit/s,17-03-2024 01:01,5.37 Mbit/s,800,not_set,700,not_set
4533,5.31 Mbit/s,17-03-2024 01:01,0.02 Mbit/s,800,not_set,700,not_set
4552,3.50 Mbit/s,17-03-2024 03:01,0.22 Mbit/s,800,not_set,700,not_set
4564,2.36 Mbit/s,17-03-2024 01:00,0.03 Mbit/s,800,not_set,700,not_set
4579,1.08 Mbit/s,17-03-2024 06:57,0.11 Mbit/s,800,not_set,700,not_set
4598,0.39 Mbit/s,17-03-2024 04:31,0.03 Mbit/s,800,not_set,700,not_set
4610,1.38 Mbit/s,17-03-2024 01:00,0.04 Mbit/s,800,not_set,700,not_set
4616,1.24 Mbit/s,17-03-2024 01:00,0.01 Mbit/s,800,not_set,700,not_set
4643,,,,not_set,not_set,not_set,not_set
4654,,,,not_set,not_set,not_set,not_set
7947,,,,8000,not_set,7000,not_set
10707,53 Mbit/s,17-03-2024 05:48,< 0.01,800,not_set,700,not_set
10018,< 0.01,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
10012,< 0.01,17-03-2024 03:21,< 0.01,800,not_set,700,not_set
9968,4.16 Mbit/s,17-03-2024 05:37,0.01 Mbit/s,800,not_set,700,not_set
8526,2.03 Mbit/s,17-03-2024 01:11,< 0.01,800,not_set,700,not_set
7707,0.36 Mbit/s,17-03-2024 00:03,< 0.01,800,not_set,700,not_set
4611,94 Mbit/s,17-03-2024 01:15,12 Mbit/s,500,not_set,400,not_set
4617,< 0.01,17-03-2024 06:12,< 0.01,500,not_set,400,not_set
4704,26 Mbit/s,17-03-2024 05:37,0.06 Mbit/s,500,not_set,400,not_set
4644,,,,500,not_set,400,not_set
4655,,,,500,not_set,400,not_set
4241,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
5535,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,200,not_set,150,not_set
10142,21 Mbit/s,17-03-2024 03:34,1.46 Mbit/s,800,not_set,700,not_set
10131,,,,not_set,not_set,not_set,not_set
10701,33 Mbit/s,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
10708,43 Mbit/s,17-03-2024 03:20,2.08 Mbit/s,800,not_set,700,not_set
4474,0.10 Mbit/s,17-03-2024 03:48,0.02 Mbit/s,800,not_set,700,not_set
4480,,,,8000,not_set,7000,not_set
10749,,,,800,not_set,700,not_set
8527,0.78 Mbit/s,17-03-2024 02:00,0.07 Mbit/s,800,not_set,700,not_set
9882,0.03 Mbit/s,17-03-2024 03:00,< 0.01,800,not_set,700,not_set
10013,0.02 Mbit/s,17-03-2024 03:16,0.01 Mbit/s,800,not_set,700,not_set
4526,372 Mbit/s,17-03-2024 02:41,2.64 Mbit/s,500,not_set,400,not_set
4540,0.23 Mbit/s,17-03-2024 04:15,0.02 Mbit/s,500,not_set,400,not_set
4553,10 Mbit/s,17-03-2024 06:57,0.08 Mbit/s,500,not_set,400,not_set
4565,0.06 Mbit/s,17-03-2024 04:31,0.03 Mbit/s,500,not_set,400,not_set
4705,0.03 Mbit/s,17-03-2024 02:04,0.03 Mbit/s,500,not_set,400,not_set
4645,,,,500,not_set,400,not_set
4656,,,,500,not_set,400,not_set
10354,0.12 Mbit/s,17-03-2024 02:01,0.08 Mbit/s,800,not_set,700,not_set
10362,0.09 Mbit/s,17-03-2024 00:36,0.08 Mbit/s,800,not_set,700,not_set
4242,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
5536,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,200,not_set,150,not_set
10143,,,,not_set,not_set,not_set,not_set
9381,,,,8000,not_set,7000,not_set
7921,,,,8000,not_set,7000,not_set
3060,0.10 Mbit/s,17-03-2024 00:36,0.09 Mbit/s,800,not_set,700,not_set
9158,0.02 Mbit/s,17-03-2024 02:00,< 0.01,800,not_set,700,not_set
9233,0.03 Mbit/s,17-03-2024 02:00,< 0.01,800,not_set,700,not_set
10702,58 Mbit/s,17-03-2024 05:27,0.53 Mbit/s,800,not_set,700,not_set
10709,58 Mbit/s,17-03-2024 05:59,0.66 Mbit/s,800,not_set,700,not_set
4475,,,,800,not_set,700,not_set
4481,,,,800,not_set,700,not_set
9883,< 0.01,17-03-2024 06:20,< 0.01,not_set,not_set,800,700
10020,2.03 Mbit/s,17-03-2024 00:26,0.32 Mbit/s,800,not_set,700,not_set
4530,22 Mbit/s,17-03-2024 06:35,0.75 Mbit/s,500,not_set,400,not_set
4544,0.43 Mbit/s,17-03-2024 04:16,< 0.01,500,not_set,400,not_set
4554,0.02 Mbit/s,17-03-2024 01:27,< 0.01,500,not_set,400,not_set
4566,< 0.01,17-03-2024 03:15,< 0.01,500,not_set,400,not_set
8528,11 Mbit/s,17-03-2024 01:01,6.89 Mbit/s,800,not_set,700,not_set
4531,4.32 Mbit/s,17-03-2024 02:31,0.10 Mbit/s,800,not_set,700,not_set
4545,25 Mbit/s,17-03-2024 05:30,0.07 Mbit/s,800,not_set,700,not_set
4567,24 Mbit/s,17-03-2024 06:42,0.05 Mbit/s,800,not_set,700,not_set
4589,22 Mbit/s,17-03-2024 06:14,0.06 Mbit/s,800,not_set,700,not_set
4608,22 Mbit/s,17-03-2024 06:14,0.06 Mbit/s,800,not_set,700,not_set
4612,25 Mbit/s,17-03-2024 05:40,0.05 Mbit/s,800,not_set,700,not_set
4618,25 Mbit/s,17-03-2024 05:40,0.04 Mbit/s,800,not_set,700,not_set
4646,,,,not_set,not_set,not_set,not_set
4657,,,,not_set,not_set,not_set,not_set
10079,4.88 Mbit/s,17-03-2024 04:10,< 0.01,800,not_set,700,not_set
10955,76 Mbit/s,17-03-2024 05:28,0.87 Mbit/s,800,not_set,700,not_set
3061,0.10 Mbit/s,17-03-2024 00:35,0.09 Mbit/s,800,not_set,700,not_set
10015,0.02 Mbit/s,17-03-2024 01:35,0.01 Mbit/s,800,not_set,700,not_set
10021,0.02 Mbit/s,17-03-2024 04:57,0.02 Mbit/s,800,not_set,700,not_set
9235,"1,023 Mbit/s",17-03-2024 02:47,3.10 Mbit/s,8000,not_set,7000,not_set
10865,"6,067 Mbit/s",17-03-2024 04:32,15 Mbit/s,32000,not_set,28000,not_set
10870,"9,532 Mbit/s",17-03-2024 03:23,13 Mbit/s,32000,not_set,28000,not_set
8529,13 Mbit/s,17-03-2024 06:22,2.71 Mbit/s,800,not_set,700,not_set
10917,44 Mbit/s,17-03-2024 05:02,< 0.01,800,not_set,700,not_set
7079,0.02 Mbit/s,17-03-2024 05:01,< 0.01,8000,not_set,7000,not_set
4532,0.04 Mbit/s,17-03-2024 05:44,0.04 Mbit/s,800,not_set,700,not_set
4546,0.04 Mbit/s,17-03-2024 04:31,0.04 Mbit/s,800,not_set,700,not_set
4555,0.04 Mbit/s,17-03-2024 03:30,0.04 Mbit/s,800,not_set,700,not_set
4568,0.04 Mbit/s,17-03-2024 04:29,0.04 Mbit/s,800,not_set,700,not_set
4590,0.04 Mbit/s,17-03-2024 04:29,0.04 Mbit/s,800,not_set,700,not_set
4609,0.04 Mbit/s,17-03-2024 02:42,0.04 Mbit/s,800,not_set,700,not_set
4613,0.04 Mbit/s,17-03-2024 02:56,0.04 Mbit/s,800,not_set,700,not_set
4619,0.04 Mbit/s,17-03-2024 03:30,0.04 Mbit/s,800,not_set,700,not_set
4647,,,,not_set,not_set,not_set,not_set
4658,,,,not_set,not_set,not_set,not_set
10990,91 Mbit/s,17-03-2024 01:40,59 Mbit/s,800,not_set,700,not_set
11011,< 0.01,17-03-2024 00:50,< 0.01,800,not_set,700,not_set
10755,< 0.01,17-03-2024 00:50,< 0.01,800,not_set,700,not_set
10336,0.04 Mbit/s,17-03-2024 05:02,0.01 Mbit/s,800,not_set,700,not_set
4556,7.27 Mbit/s,17-03-2024 02:41,< 0.01,500,not_set,400,not_set
4569,< 0.01,17-03-2024 01:05,< 0.01,500,not_set,400,not_set
4648,,,,500,not_set,400,not_set
4659,,,,500,not_set,400,not_set
7065,289 Mbit/s,17-03-2024 00:24,< 0.01,20000,not_set,17500,not_set
10369,0.01 Mbit/s,17-03-2024 00:06,< 0.01,800,not_set,700,not_set
10375,0.02 Mbit/s,17-03-2024 00:05,< 0.01,800,not_set,700,not_set
10918,0.03 Mbit/s,17-03-2024 05:07,< 0.01,800,not_set,700,not_set
11000,< 0.01,17-03-2024 06:55,< 0.01,800,not_set,700,not_set
10991,0.19 Mbit/s,17-03-2024 01:13,0.04 Mbit/s,800,not_set,700,not_set
11012,< 0.01,17-03-2024 00:50,< 0.01,800,not_set,700,not_set
4638,< 0.01,17-03-2024 01:17,< 0.01,500,not_set,400,not_set
4706,9.82 Mbit/s,17-03-2024 04:37,0.09 Mbit/s,500,not_set,400,not_set
4614,85 Mbit/s,17-03-2024 01:15,9.96 Mbit/s,500,not_set,400,not_set
4620,< 0.01,17-03-2024 00:25,< 0.01,500,not_set,400,not_set
10248,0.03 Mbit/s,17-03-2024 02:25,0.01 Mbit/s,800,not_set,700,not_set
9969,1.70 Mbit/s,17-03-2024 02:38,1.18 Mbit/s,800,not_set,700,not_set
8530,5.58 Mbit/s,17-03-2024 06:35,0.05 Mbit/s,800,not_set,700,not_set
4557,< 0.01,17-03-2024 06:43,< 0.01,500,not_set,400,not_set
4570,< 0.01,17-03-2024 04:47,< 0.01,500,not_set,400,not_set
10919,0.76 Mbit/s,17-03-2024 01:38,< 0.01,800,not_set,700,not_set
10134,< 0.01,17-03-2024 03:13,< 0.01,800,not_set,700,not_set
10144,< 0.01,17-03-2024 03:23,< 0.01,800,not_set,700,not_set
10370,< 0.01,17-03-2024 05:21,< 0.01,800,not_set,700,not_set
10376,< 0.01,17-03-2024 06:02,< 0.01,800,not_set,700,not_set
11013,< 0.01,17-03-2024 06:56,< 0.01,800,not_set,700,not_set
10992,< 0.01,17-03-2024 02:35,< 0.01,800,not_set,700,not_set
4615,< 0.01,17-03-2024 06:11,< 0.01,500,not_set,400,not_set
4621,< 0.01,17-03-2024 00:26,< 0.01,500,not_set,400,not_set
8459,4.37 Mbit/s,17-03-2024 06:35,0.12 Mbit/s,800,not_set,700,not_set
9970,327 Mbit/s,17-03-2024 05:47,0.12 Mbit/s,800,not_set,700,not_set
4558,8.47 Mbit/s,17-03-2024 02:13,0.02 Mbit/s,500,not_set,400,not_set
4571,0.02 Mbit/s,17-03-2024 04:30,< 0.01,500,not_set,400,not_set
10371,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
4639,0.39 Mbit/s,17-03-2024 04:31,0.02 Mbit/s,500,not_set,400,not_set
4650,,,,500,not_set,400,not_set
4661,,,,500,not_set,400,not_set
10016,0.02 Mbit/s,17-03-2024 04:24,0.01 Mbit/s,800,not_set,700,not_set
10022,324 Mbit/s,17-03-2024 05:47,1.34 Mbit/s,800,not_set,700,not_set
9971,3.88 Mbit/s,17-03-2024 00:37,1.28 Mbit/s,800,not_set,700,not_set
10866,"1,608 Mbit/s",17-03-2024 03:24,6.70 Mbit/s,16000,not_set,10000,not_set
10871,626 Mbit/s,17-03-2024 05:17,8.89 Mbit/s,16000,not_set,10000,not_set
4547,16 Mbit/s,17-03-2024 05:38,< 0.01,500,not_set,400,not_set
4559,< 0.01,17-03-2024 04:55,< 0.01,500,not_set,400,not_set
10252,0.01 Mbit/s,17-03-2024 00:04,< 0.01,800,not_set,700,not_set
4640,,,,500,not_set,400,not_set
4651,,,,500,not_set,400,not_set
8580,,,,800,not_set,700,not_set
8582,< 0.01,17-03-2024 01:54,< 0.01,800,not_set,700,not_set
10366,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
10372,,,,not_set,not_set,not_set,not_set
2769,0.03 Mbit/s,17-03-2024 02:40,0.03 Mbit/s,800,not_set,700,not_set
7706,1.07 Mbit/s,17-03-2024 02:04,0.10 Mbit/s,800,not_set,700,not_set
10241,0.01 Mbit/s,17-03-2024 00:05,0.01 Mbit/s,800,not_set,700,not_set
9967,3.14 Mbit/s,17-03-2024 01:47,0.17 Mbit/s,800,not_set,700,not_set
8428,< 0.01,17-03-2024 03:36,< 0.01,800,not_set,700,not_set
8461,5.60 Mbit/s,17-03-2024 06:36,0.05 Mbit/s,800,not_set,700,not_set
10447,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
4548,20 Mbit/s,17-03-2024 06:57,< 0.01,500,not_set,400,not_set
4560,< 0.01,17-03-2024 02:40,< 0.01,500,not_set,400,not_set
10367,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
4641,,,,500,not_set,400,not_set
4652,,,,500,not_set,400,not_set
6531,59 Mbit/s,17-03-2024 06:56,30 Mbit/s,8000,not_set,7000,not_set
10242,0.01 Mbit/s,17-03-2024 00:04,< 0.01,800,not_set,700,not_set
10253,0.01 Mbit/s,17-03-2024 00:05,< 0.01,800,not_set,700,not_set
4642,,,,500,not_set,400,not_set
4653,,,,500,not_set,400,not_set
10368,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
6532,2.05 Mbit/s,17-03-2024 05:41,0.17 Mbit/s,8000,not_set,7000,not_set
10243,< 0.01,17-03-2024 06:12,< 0.01,800,not_set,700,not_set
10254,,,,not_set,not_set,not_set,not_set
4635,< 0.01,17-03-2024 05:45,< 0.01,500,not_set,400,not_set
4701,55 Mbit/s,17-03-2024 05:38,0.05 Mbit/s,500,not_set,400,not_set
10706,0.02 Mbit/s,17-03-2024 01:00,0.01 Mbit/s,800,not_set,700,not_set
6533,60 Mbit/s,17-03-2024 06:56,31 Mbit/s,32000,not_set,28000,not_set
4549,0.22 Mbit/s,17-03-2024 06:44,< 0.01,500,not_set,400,not_set
4561,0.01 Mbit/s,17-03-2024 02:32,< 0.01,500,not_set,400,not_set
10244,0.03 Mbit/s,17-03-2024 00:33,< 0.01,800,not_set,700,not_set
10996,,,,not_set,not_set,not_set,not_set
10869,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,32000,not_set,28000,not_set
4636,< 0.01,17-03-2024 05:17,< 0.01,500,not_set,400,not_set
4702,9.57 Mbit/s,17-03-2024 04:37,0.05 Mbit/s,500,not_set,400,not_set
6534,1.99 Mbit/s,17-03-2024 05:41,0.18 Mbit/s,32000,not_set,28000,not_set
6521,< 0.01,17-03-2024 05:01,< 0.01,800,not_set,700,not_set
9138,"2,471 Mbit/s",17-03-2024 01:22,1.57 Mbit/s,16000,not_set,10000,not_set
8029,,,,210,0.03,150,0.05
9202,"1,832 Mbit/s",17-03-2024 02:02,3.08 Mbit/s,8000,not_set,7000,not_set
9141,"1,250 Mbit/s",17-03-2024 01:02,0.79 Mbit/s,16000,not_set,10000,not_set
9210,"1,637 Mbit/s",17-03-2024 02:02,1.83 Mbit/s,8000,not_set,7000,not_set
9773,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
9795,0 Mbit/s,17-03-2024 00:00,0 Mbit/s,800,not_set,700,not_set
7946,,,,510,0.03,450,0.05
9142,"3,100 Mbit/s",17-03-2024 01:22,1.51 Mbit/s,16000,not_set,10000,not_set
9212,"7,372 Mbit/s",17-03-2024 01:52,3.28 Mbit/s,8000,not_set,7000,not_set
9143,"1,339 Mbit/s",17-03-2024 01:01,0.84 Mbit/s,16000,not_set,10000,not_set
7979,105 Mbit/s,17-03-2024 03:20,< 0.01,800,not_set,700,not_set
9213,929 Mbit/s,17-03-2024 02:41,1.17 Mbit/s,800,not_set,700,not_set
8464,0.01 Mbit/s,17-03-2024 01:01,< 0.01,800,not_set,700,not_set
8432,0.01 Mbit/s,17-03-2024 02:00,< 0.01,800,not_set,700,not_set
7684,< 0.01,17-03-2024 03:23,< 0.01,800,not_set,700,not_set
7687,1.74 Mbit/s,17-03-2024 02:50,< 0.01,800,not_set,700,not_set
9774,1.84 Mbit/s,17-03-2024 06:15,0.03 Mbit/s,800,not_set,700,not_set
9780,3.31 Mbit/s,17-03-2024 06:15,0.03 Mbit/s,800,not_set,700,not_set
9796,< 0.01,17-03-2024 01:43,< 0.01,800,not_set,700,not_set
10657,53 Mbit/s,17-03-2024 05:45,0.21 Mbit/s,800,not_set,700,not_set
9214,"6,792 Mbit/s",17-03-2024 03:18,3.72 Mbit/s,800,not_set,700,not_set
4623,6.21 Mbit/s,17-03-2024 00:52,0.42 Mbit/s,500,not_set,400,not_set
4629,< 0.01,17-03-2024 05:13,< 0.01,500,not_set,400,not_set
